Mass of Precursor A (g),Solution Volume (ml),Reaction Temperature (°C),Reaction Time(h),Ramp Rate (°C/min),pH Value,Target
4.0,35.0,200.0,1.0,10.0,10.0,0.022000000000000002
2.0,50.0,200.0,2.0,5.0,7.0,0.489
2.0,55.0,200.0,1.0,2.0,6.0,0.122
2.0,50.0,180.0,2.0,5.0,7.0,0.467
0.5,50.0,240.0,2.0,15.0,7.0,0.326
0.1,50.0,290.0,1.0,15.0,7.0,0.0
1.0,50.0,160.0,1.0,15.0,7.0,0.32299999999999995
0.05,50.0,185.0,1.0,15.0,7.0,0.136
1.6,50.0,200.0,5.0,15.0,7.0,0.455
2.0,30.0,160.0,0.5,15.0,8.0,0.29
1.0,30.0,180.0,1.0,5.0,4.0,0.009000000000000001
1.0,50.0,180.0,5.0,15.0,7.0,0.488
1.9,50.0,200.0,5.0,15.0,7.0,0.496
8.0,40.0,200.0,5.0,15.0,8.0,0.445
1.0,30.0,180.0,1.0,5.0,1.0,0.0
1.6,50.0,190.0,2.0,15.0,7.0,0.424
0.9,50.0,200.0,4.0,15.0,7.0,0.48200000000000004
1.0,50.0,200.0,1.0,15.0,7.0,0.426
2.0,50.0,200.0,2.0,5.0,6.0,0.111
0.2,50.0,200.0,5.0,15.0,7.0,0.36
1.0,50.0,230.0,4.0,15.0,7.0,0.215
1.3,50.0,250.0,2.0,15.0,7.0,0.142
8.2,50.0,200.0,6.0,15.0,7.0,0.41100000000000003
7.0,50.0,0.0,1.0,15.0,7.0,0.0
2.0,40.0,120.0,1.0,10.0,7.0,0.115
1.5,50.0,200.0,0.5,15.0,7.0,0.289
2.0,15.0,200.0,5.0,15.0,7.0,0.301
12.0,45.0,200.0,1.0,10.0,3.0,0.001
2.0,35.0,200.0,1.0,10.0,12.0,0.0
2.0,60.0,180.0,3.0,5.0,7.0,0.402
1.0,50.0,160.0,4.0,15.0,7.0,0.16699999999999998
1.3,50.0,250.0,13.0,15.0,7.0,0.11699999999999999
1.0,50.0,200.0,5.0,15.0,7.0,0.513
1.8,50.0,180.0,2.0,15.0,7.0,0.385
2.0,50.0,200.0,3.0,15.0,7.0,0.467
1.2,50.0,180.0,5.0,15.0,7.0,0.49700000000000005
2.0,35.0,160.0,0.5,5.0,2.0,0.0
14.0,30.0,200.0,1.0,5.0,7.0,0.08900000000000001
1.7,50.0,200.0,4.0,15.0,7.0,0.521
11.0,45.0,200.0,1.0,10.0,4.0,0.040999999999999995
2.0,60.0,200.0,3.0,15.0,7.0,0.451
1.1,50.0,190.0,4.0,15.0,7.0,0.391
0.02,50.0,210.0,1.0,15.0,7.0,0.133
1.0,30.0,200.0,1.0,15.0,6.0,0.218
4.0,60.0,200.0,5.0,15.0,7.0,0.485
0.2,50.0,180.0,5.0,15.0,7.0,0.32
10.0,30.0,200.0,1.0,5.0,7.0,0.263
3.0,60.0,200.0,5.0,15.0,7.0,0.486
1.6,50.0,180.0,5.0,15.0,7.0,0.512
2.0,50.0,200.0,2.0,5.0,2.0,0.001
1.0,50.0,185.0,3.0,15.0,7.0,0.396
13.0,50.0,80.0,0.05,15.0,7.0,0.001
1.0,25.0,80.0,1.0,5.0,11.0,0.0
1.0,50.0,200.0,4.0,15.0,7.0,0.379
0.4,50.0,180.0,5.0,15.0,7.0,0.38799999999999996
1.5,45.0,200.0,5.0,15.0,4.0,0.012
0.7,50.0,210.0,7.0,15.0,7.0,0.326
0.7,50.0,230.0,2.0,15.0,7.0,0.205
7.4,50.0,280.0,2.0,15.0,7.0,0.078
0.05,50.0,280.0,1.0,15.0,7.0,0.055
6.0,50.0,90.0,0.01,15.0,7.0,0.001
1.0,50.0,240.0,5.0,15.0,7.0,0.223
1.9,50.0,240.0,2.0,15.0,7.0,0.228
1.0,30.0,260.0,1.0,10.0,3.0,0.001
3.0,50.0,180.0,3.0,15.0,7.0,0.355
14.0,50.0,280.0,14.0,15.0,7.0,0.083
0.1,50.0,240.0,2.0,15.0,7.0,0.19899999999999998
1.0,50.0,190.0,5.0,15.0,7.0,0.285
0.02,50.0,260.0,1.0,15.0,7.0,0.063
1.0,50.0,200.0,1.0,5.0,7.0,0.201
0.1,50.0,200.0,2.0,15.0,7.0,0.252
1.0,30.0,200.0,1.0,5.0,8.0,0.392
0.9,50.0,230.0,9.0,15.0,7.0,0.215
0.8,50.0,200.0,1.0,15.0,7.0,0.34600000000000003
6.0,40.0,200.0,5.0,10.0,7.0,0.22399999999999998
1.9,50.0,170.0,2.0,15.0,7.0,0.32799999999999996
1.0,10.0,160.0,1.0,5.0,1.0,0.0
3.0,50.0,120.0,0.2,15.0,7.0,0.046
1.0,50.0,200.0,2.0,15.0,7.0,0.426
1.7,50.0,160.0,2.0,15.0,7.0,0.255
0.5,50.0,190.0,1.0,15.0,7.0,0.307
6.2,50.0,80.0,1.0,15.0,7.0,0.013999999999999999
7.0,40.0,200.0,1.0,10.0,8.0,0.268
2.0,35.0,200.0,5.0,15.0,7.0,0.441
6.6,50.0,40.0,1.0,15.0,7.0,0.001
9.0,40.0,200.0,1.0,10.0,6.0,0.19899999999999998
2.0,35.0,160.0,0.5,10.0,3.0,0.006999999999999999
1.7,50.0,180.0,2.0,15.0,7.0,0.377
5.0,50.0,180.0,1.0,15.0,7.0,0.185
2.5,50.0,200.0,0.1,15.0,7.0,0.16399999999999998
2.0,30.0,180.0,5.0,5.0,5.0,0.184
10.0,40.0,200.0,1.0,10.0,5.0,0.092
1.0,40.0,180.0,2.0,10.0,7.0,0.272
2.0,50.0,160.0,2.0,15.0,7.0,0.242
4.8,50.0,180.0,1.0,15.0,7.0,0.203
1.0,30.0,200.0,2.0,2.0,4.0,0.011000000000000001
1.0,30.0,240.0,1.0,5.0,4.0,0.035
2.3,50.0,190.0,4.0,15.0,7.0,0.47700000000000004
2.0,50.0,200.0,0.7,15.0,7.0,0.355
1.8,50.0,275.0,18.0,15.0,7.0,0.085
0.1,50.0,190.0,2.0,15.0,7.0,0.255
1.0,50.0,290.0,6.0,15.0,7.0,0.003
2.0,30.0,160.0,0.5,10.0,7.0,0.18
1.7,50.0,200.0,2.0,15.0,7.0,0.451
0.4,50.0,180.0,4.0,15.0,7.0,0.39
1.0,40.0,180.0,1.0,5.0,7.0,0.233
2.0,50.0,200.0,2.0,5.0,13.0,0.0
2.0,40.0,180.0,2.0,10.0,7.0,0.513
2.1,50.0,290.0,21.0,15.0,7.0,0.032
13.0,50.0,270.0,13.0,15.0,7.0,0.105
0.5,50.0,185.0,3.0,15.0,7.0,0.319
3.0,50.0,170.0,3.0,15.0,7.0,0.33299999999999996
1.7,50.0,220.0,2.0,15.0,7.0,0.289
2.0,50.0,160.0,5.0,15.0,7.0,0.27899999999999997
1.4,50.0,180.0,5.0,15.0,7.0,0.504
15.0,50.0,290.0,15.0,15.0,7.0,0.052000000000000005
1.4,50.0,200.0,1.0,15.0,7.0,0.40299999999999997
0.9,50.0,200.0,2.0,15.0,7.0,0.429
1.9,50.0,200.0,2.0,15.0,7.0,0.47700000000000004
14.0,45.0,200.0,1.0,10.0,1.0,0.0
1.7,50.0,170.0,2.0,15.0,7.0,0.304
1.0,35.0,300.0,1.0,15.0,1.0,0.0
2.0,50.0,185.0,5.0,15.0,4.0,0.175
0.6,50.0,200.0,1.0,15.0,7.0,0.266
1.0,35.0,200.0,1.0,10.0,13.0,0.0
1.7,50.0,270.0,17.0,15.0,7.0,0.091
1.0,30.0,200.0,1.0,5.0,10.0,0.022000000000000002
2.6,50.0,160.0,1.0,15.0,7.0,0.271
2.0,35.0,200.0,3.0,15.0,7.0,0.41600000000000004
7.0,50.0,210.0,7.0,15.0,7.0,0.34299999999999997
2.0,20.0,200.0,5.0,15.0,7.0,0.311
0.1,50.0,180.0,2.0,15.0,7.0,0.221
0.6,50.0,200.0,6.0,15.0,7.0,0.342
2.6,50.0,200.0,5.0,15.0,7.0,0.523
1.0,50.0,195.0,1.0,15.0,7.0,0.41200000000000003
0.1,50.0,280.0,5.0,15.0,7.0,0.032
1.0,50.0,240.0,3.0,15.0,7.0,0.44299999999999995
2.0,50.0,200.0,6.0,15.0,7.0,0.179
