Add NaCl,Distance of S outside Furnace (in cm),Flat/Tilted_Face Down (Tilted),Flow rate (sccm),Reaction Temperature (°C),Ramp time (min),Reaction time (min),Result
1.0,2.5,0.0,60.0,770.0,17.0,10.0,0
0.0,2.0,0.0,80.0,700.0,15.0,10.0,0
1.0,2.0,0.0,100.0,500.0,12.0,5.0,0
0.0,2.0,0.0,60.0,750.0,16.0,10.0,0
0.0,2.0,0.0,40.0,750.0,15.0,15.0,0
1.0,2.0,1.0,100.0,600.0,12.0,15.0,1
1.0,2.0,1.0,200.0,550.0,20.0,5.0,0
0.0,1.0,0.0,65.0,800.0,17.0,15.0,1
0.0,3.0,0.0,70.0,700.0,15.0,10.0,0
1.0,2.0,1.0,60.0,750.0,16.0,10.0,0
0.0,2.0,0.0,50.0,700.0,15.0,10.0,1
1.0,1.2,0.0,80.0,700.0,15.0,15.0,1
0.0,1.8,1.0,90.0,750.0,16.0,12.0,1
0.0,2.5,0.0,40.0,750.0,15.0,10.0,1
0.0,2.5,0.0,80.0,700.0,15.0,15.0,1
0.0,2.0,0.0,40.0,900.0,20.0,15.0,1
1.0,2.8,0.0,40.0,700.0,16.0,10.0,1
0.0,2.5,1.0,40.0,700.0,15.0,15.0,1
1.0,2.0,0.0,80.0,700.0,15.0,10.0,0
0.0,2.0,0.0,10.0,950.0,20.0,5.0,0
0.0,1.5,0.0,60.0,725.0,15.0,10.0,1
1.0,2.0,0.0,50.0,725.0,15.0,10.0,1
1.0,2.0,1.0,200.0,525.0,11.0,15.0,1
1.0,1.8,0.0,80.0,700.0,16.0,14.0,1
1.0,2.5,0.0,40.0,700.0,16.0,10.0,1
0.0,3.0,0.0,60.0,700.0,16.0,10.0,1
0.0,2.5,1.0,60.0,700.0,15.0,15.0,1
0.0,1.5,0.0,40.0,700.0,16.0,10.0,1
0.0,2.0,1.0,200.0,525.0,11.0,10.0,0
0.0,2.0,1.0,50.0,525.0,14.0,10.0,0
0.0,2.0,1.0,40.0,750.0,16.0,10.0,1
1.0,2.0,0.0,40.0,700.0,15.0,15.0,1
1.0,2.0,0.0,40.0,700.0,15.0,10.0,1
1.0,3.5,0.0,80.0,750.0,16.0,13.0,1
0.0,2.0,0.0,40.0,700.0,15.0,15.0,0
0.0,2.0,1.0,200.0,525.0,11.0,5.0,0
0.0,2.0,0.0,60.0,750.0,16.0,10.0,0
1.0,2.5,1.0,80.0,720.0,15.0,13.0,1
0.0,3.0,1.0,40.0,850.0,18.0,15.0,1
0.0,2.0,0.0,40.0,700.0,15.0,10.0,1
0.0,1.5,0.0,80.0,750.0,16.0,15.0,1
0.0,2.0,0.0,40.0,700.0,15.0,10.0,1
0.0,2.0,1.0,50.0,625.0,15.0,15.0,1
0.0,2.0,0.0,60.0,750.0,16.0,10.0,0
0.0,1.5,0.0,100.0,800.0,17.0,15.0,1
1.0,2.8,0.0,80.0,750.0,16.0,13.0,1
1.0,2.0,0.0,80.0,720.0,15.0,13.0,1
1.0,2.0,1.0,150.0,525.0,12.0,15.0,1
0.0,2.0,0.0,60.0,750.0,16.0,10.0,0
0.0,2.0,0.0,40.0,700.0,15.0,15.0,1
0.0,2.0,1.0,250.0,700.0,14.0,15.0,1
0.0,1.5,0.0,80.0,800.0,17.0,15.0,1
0.0,2.5,1.0,40.0,700.0,15.0,15.0,1
1.0,2.5,0.0,60.0,800.0,17.0,10.0,0
1.0,2.5,0.0,60.0,800.0,17.0,10.0,0
1.0,3.0,0.0,60.0,700.0,16.0,10.0,1
0.0,2.3,1.0,80.0,720.0,15.0,13.0,1
0.0,2.0,1.0,100.0,950.0,21.0,10.0,0
0.0,2.0,1.0,40.0,750.0,16.0,10.0,1
0.0,2.5,1.0,60.0,750.0,15.0,15.0,1
1.0,2.0,0.0,70.0,700.0,15.0,10.0,0
0.0,1.8,0.0,80.0,740.0,16.0,14.0,1
1.0,2.0,0.0,60.0,750.0,16.0,10.0,0
1.0,2.0,0.0,60.0,730.0,16.0,10.0,0
1.0,1.5,0.0,80.0,720.0,16.0,15.0,1
0.0,1.5,0.0,60.0,800.0,17.0,15.0,1
1.0,2.0,0.0,40.0,700.0,15.0,15.0,0
0.0,1.8,0.0,80.0,700.0,16.0,15.0,1
0.0,2.0,0.0,40.0,750.0,16.0,10.0,1
0.0,2.0,1.0,10.0,925.0,19.0,5.0,0
0.0,2.5,0.0,80.0,720.0,17.0,15.0,1
0.0,1.5,0.0,60.0,700.0,15.0,10.0,1
1.0,2.5,0.0,80.0,730.0,17.0,15.0,1
0.0,3.0,0.0,60.0,700.0,16.0,10.0,1
0.0,2.0,0.0,30.0,900.0,18.0,5.0,0
0.0,3.0,1.0,40.0,820.0,16.0,15.0,1
0.0,2.0,0.0,50.0,725.0,15.0,10.0,1
0.0,2.0,0.0,60.0,750.0,15.0,15.0,0
1.0,2.0,0.0,60.0,750.0,16.0,10.0,0
1.0,2.0,0.0,150.0,500.0,11.0,10.0,0
0.0,2.2,0.0,60.0,700.0,16.0,10.0,1
0.0,1.1,0.0,80.0,720.0,15.0,13.0,1
0.0,2.0,0.0,60.0,750.0,15.0,15.0,0
0.0,2.0,0.0,100.0,700.0,16.0,10.0,1
0.0,2.5,0.0,80.0,750.0,16.0,13.0,1
0.0,1.0,0.0,80.0,800.0,17.0,15.0,1
1.0,1.5,0.0,80.0,700.0,15.0,15.0,1
0.0,1.8,0.0,40.0,700.0,16.0,10.0,1
1.0,2.0,1.0,200.0,550.0,20.0,5.0,1
1.0,2.8,0.0,40.0,700.0,16.0,10.0,1
0.0,2.0,1.0,60.0,820.0,15.0,15.0,0
0.0,2.5,0.0,40.0,700.0,15.0,15.0,1
1.0,3.0,0.0,80.0,750.0,16.0,13.0,1
0.0,2.0,0.0,50.0,725.0,15.0,10.0,1
0.0,2.0,0.0,100.0,900.0,18.0,10.0,0
0.0,2.5,0.0,60.0,800.0,17.0,10.0,0
1.0,2.5,0.0,80.0,750.0,16.0,10.0,1
0.0,2.0,0.0,80.0,700.0,15.0,10.0,0
0.0,2.0,1.0,40.0,750.0,16.0,10.0,1
0.0,2.5,1.0,40.0,700.0,15.0,15.0,1
0.0,2.0,0.0,80.0,750.0,17.0,15.0,1
0.0,2.0,0.0,50.0,725.0,15.0,10.0,1
0.0,2.0,1.0,100.0,525.0,13.0,15.0,0
0.0,2.0,0.0,40.0,700.0,15.0,15.0,0
1.0,2.0,0.0,200.0,550.0,20.0,5.0,1
1.0,1.8,0.0,80.0,720.0,15.0,13.0,1
0.0,2.0,1.0,30.0,925.0,19.0,10.0,0
0.0,1.2,0.0,60.0,800.0,17.0,15.0,1
0.0,2.0,0.0,80.0,740.0,16.0,13.0,1
0.0,1.0,0.0,70.0,700.0,15.0,10.0,0
0.0,1.5,1.0,40.0,700.0,15.0,15.0,1
1.0,2.5,0.0,80.0,750.0,17.0,15.0,1
0.0,2.5,0.0,60.0,800.0,17.0,10.0,0
1.0,2.0,1.0,40.0,700.0,15.0,15.0,0
1.0,2.5,1.0,40.0,700.0,15.0,15.0,1
1.0,2.5,0.0,60.0,800.0,17.0,10.0,0
0.0,2.0,0.0,60.0,720.0,16.0,10.0,1
1.0,2.0,0.0,200.0,550.0,20.0,5.0,1
0.0,2.0,1.0,10.0,950.0,19.0,5.0,1
1.0,1.8,0.0,80.0,720.0,15.0,13.0,1
0.0,2.0,0.0,40.0,750.0,16.0,10.0,1
0.0,2.0,0.0,50.0,500.0,13.0,10.0,0
0.0,2.0,1.0,60.0,820.0,15.0,15.0,0
0.0,3.0,1.0,40.0,820.0,16.0,15.0,1
0.0,2.0,0.0,40.0,700.0,15.0,15.0,1
0.0,1.5,0.0,80.0,800.0,17.0,15.0,1
0.0,2.0,0.0,65.0,800.0,17.0,15.0,1
1.0,1.8,0.0,80.0,740.0,16.0,14.0,1
0.0,2.0,0.0,40.0,700.0,15.0,15.0,1
1.0,2.0,0.0,40.0,700.0,15.0,15.0,0
0.0,2.0,0.0,80.0,700.0,15.0,10.0,0
0.0,2.0,0.0,40.0,725.0,15.0,10.0,1
0.0,2.5,0.0,60.0,770.0,17.0,10.0,0
1.0,3.5,1.0,40.0,750.0,15.0,15.0,1
0.0,2.5,0.0,40.0,780.0,16.0,10.0,1
0.0,2.0,1.0,100.0,525.0,13.0,5.0,0
0.0,2.0,0.0,30.0,975.0,20.0,5.0,0
0.0,2.0,1.0,60.0,820.0,15.0,15.0,0
1.0,2.0,1.0,200.0,550.0,20.0,5.0,1
1.0,3.0,0.0,80.0,750.0,16.0,12.0,1
1.0,2.0,1.0,200.0,500.0,10.0,5.0,0
0.0,2.5,0.0,200.0,700.0,16.0,10.0,1
1.0,1.6,1.0,80.0,660.0,16.0,15.0,1
0.0,2.0,0.0,60.0,750.0,16.0,10.0,1
0.0,2.0,0.0,50.0,725.0,15.0,10.0,1
0.0,2.5,0.0,80.0,750.0,17.0,15.0,1
0.0,2.0,1.0,50.0,925.0,20.0,5.0,0
1.0,1.5,0.0,80.0,720.0,16.0,15.0,1
0.0,2.0,0.0,80.0,700.0,15.0,10.0,0
0.0,2.0,0.0,60.0,720.0,16.0,10.0,1
1.0,2.5,0.0,80.0,700.0,15.0,15.0,1
0.0,2.0,1.0,50.0,950.0,20.0,15.0,0
1.0,2.0,1.0,200.0,500.0,10.0,10.0,0
1.0,2.0,0.0,40.0,700.0,15.0,10.0,1
0.0,2.5,0.0,80.0,800.0,17.0,15.0,1
0.0,2.0,0.0,80.0,700.0,15.0,10.0,0
1.0,2.0,0.0,70.0,700.0,15.0,10.0,0
0.0,2.0,1.0,80.0,900.0,18.0,10.0,0
0.0,2.0,0.0,50.0,725.0,15.0,10.0,1
0.0,2.0,1.0,40.0,700.0,15.0,15.0,0
0.0,2.0,0.0,200.0,700.0,16.0,10.0,1
0.0,3.0,1.0,40.0,850.0,18.0,15.0,1
0.0,2.5,1.0,80.0,750.0,16.0,11.0,1
0.0,2.0,0.0,50.0,725.0,15.0,10.0,1
1.0,2.0,1.0,200.0,550.0,20.0,5.0,1
0.0,2.0,0.0,80.0,800.0,17.0,15.0,1
0.0,2.0,0.0,60.0,700.0,15.0,10.0,1
0.0,2.5,0.0,40.0,700.0,16.0,10.0,1
0.0,3.5,0.0,80.0,750.0,17.0,15.0,1
1.0,3.5,0.0,70.0,750.0,16.0,12.0,1
1.0,2.0,0.0,40.0,700.0,15.0,15.0,0
1.0,2.5,0.0,60.0,770.0,17.0,10.0,0
0.0,2.0,1.0,80.0,950.0,21.0,5.0,0
0.0,2.0,0.0,80.0,800.0,17.0,15.0,1
